,position,well,volume,xpos,ypos,field,XY,DropNo,X,Y,Diameter,Elongation,Circularity,Intensity,Teg,Plate,Well,Target,Field,XPos,YPos,Date,Time,ImageFile,Background,EjBound,SedBound,DetDiaMinTrans,DetDiaMaxTrans,IsoDiaMinTrans,IsoDiaMaxTrans,IsoIntMinTrans,IsoIntMaxTrans,IsoDiaMinFlu,IsoDiaMaxFlu,IsoIntMinFlu,IsoIntMaxFlu,CellType,CellSortFile,PickupXpos,PickupYpos,PickupWell,PickupPlate,DevX,DevY,RawFileName,MSAquisDateTime,Channel
0,8/7,"1G2,","20000,",7.0,8.0,1.0,1_7_8,445.0,186.31,99.59,19.2,1.63,1.06,81.22,Transmission,1.0,A-1,1.0,1.0,7.0,8.0,08/06/2024,19:01:06,"=HYPERLINK(""445_Printed_T1_F1_R8_C7_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,6.0,11.0,A1,1.0,1.0,-3.0,SH_240625_WA1_F01_C04_R04_S0001.d,,Reporter.intensity.6
1,8/11,"1G3,","20000,",11.0,8.0,1.0,1_11_8,981.0,317.68,101.06,19.26,1.49,1.04,82.33,Transmission,1.0,A-1,1.0,1.0,11.0,8.0,08/06/2024,19:02:25,"=HYPERLINK(""981_Printed_T1_F1_R8_C11_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,6.0,11.0,A1,1.0,5.0,-3.0,SH_240625_WA1_F01_C04_R04_S0001.d,,Reporter.intensity.7
2,11/1,"1G4,","20000,",1.0,11.0,1.0,1_1_11,60.0,227.07,91.18,18.88,1.87,1.1,83.2,Transmission,1.0,A-1,1.0,1.0,1.0,11.0,08/06/2024,19:00:04,"=HYPERLINK(""60_Printed_T1_F1_R11_C1_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,6.0,11.0,A1,1.0,-5.0,0.0,SH_240625_WA1_F01_C04_R04_S0001.d,,Reporter.intensity.8
3,11/5,"1G5,","20000,",5.0,11.0,1.0,1_5_11,279.0,314.05,105.6,20.08,1.6,1.06,82.62,Transmission,1.0,A-1,1.0,1.0,5.0,11.0,08/06/2024,19:00:41,"=HYPERLINK(""279_Printed_T1_F1_R11_C5_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,6.0,11.0,A1,1.0,-1.0,0.0,SH_240625_WA1_F01_C04_R04_S0001.d,,Reporter.intensity.9
4,11/9,"1G6,","20000,",9.0,11.0,1.0,1_9_11,673.0,309.91,45.56,18.82,1.93,1.11,76.88,Transmission,1.0,A-1,1.0,1.0,9.0,11.0,08/06/2024,19:01:40,"=HYPERLINK(""673_Printed_T1_F1_R11_C9_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,6.0,11.0,A1,1.0,3.0,0.0,SH_240625_WA1_F01_C04_R04_S0001.d,,Reporter.intensity.10
5,11/13,"1G7,","20000,",13.0,11.0,1.0,1_13_11,1137.0,234.43,57.26,17.2,1.75,1.08,73.13,Transmission,1.0,A-1,1.0,1.0,13.0,11.0,08/06/2024,19:02:49,"=HYPERLINK(""1137_Printed_T1_F1_R11_C13_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,6.0,11.0,A1,1.0,7.0,0.0,SH_240625_WA1_F01_C04_R04_S0001.d,,Reporter.intensity.11
6,14/1,"1G8,","20000,",1.0,14.0,1.0,1_1_14,0.0,132.59,91.91,14.87,1.8,1.09,77.92,Transmission,1.0,A-1,1.0,1.0,1.0,14.0,08/06/2024,19:25:20,"=HYPERLINK(""0_Printed_T1_F1_R14_C1_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_19251908_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,A549_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\A549_unfixed.xls,6.0,11.0,A1,1.0,-5.0,3.0,SH_240625_WA1_F01_C04_R04_S0001.d,,Reporter.intensity.12
7,14/9,"1G10,","20000,",9.0,14.0,1.0,1_9_14,410.0,239.18,93.61,20.35,1.53,1.04,81.19,Transmission,1.0,A-1,1.0,1.0,9.0,14.0,08/06/2024,19:26:33,"=HYPERLINK(""410_Printed_T1_F1_R14_C9_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_19251908_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,A549_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\A549_unfixed.xls,6.0,11.0,A1,1.0,3.0,3.0,SH_240625_WA1_F01_C04_R04_S0001.d,,Reporter.intensity.14
8,14/13,"1G11,","20000,",13.0,14.0,1.0,1_13_14,528.0,192.0,96.23,22.87,1.64,1.06,82.87,Transmission,1.0,A-1,1.0,1.0,13.0,14.0,08/06/2024,19:26:56,"=HYPERLINK(""528_Printed_T1_F1_R14_C13_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_19251908_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,A549_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\A549_unfixed.xls,6.0,11.0,A1,1.0,7.0,3.0,SH_240625_WA1_F01_C04_R04_S0001.d,,Reporter.intensity.15
9,17/3,"1G12,","20000,",3.0,17.0,1.0,1_3_17,79.0,217.59,97.56,24.99,1.59,1.05,81.87,Transmission,1.0,A-1,1.0,1.0,3.0,17.0,08/06/2024,19:25:35,"=HYPERLINK(""79_Printed_T1_F1_R17_C3_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_19251908_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,A549_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\A549_unfixed.xls,6.0,11.0,A1,1.0,-3.0,6.0,SH_240625_WA1_F01_C04_R04_S0001.d,,Reporter.intensity.16
